,precision,recall,f1-score,support
semi-decidability,0.8646616541353384,0.9426229508196722,0.9019607843137255,122.0
set-cover,0.9473684210526315,0.907563025210084,0.927038626609442,119.0
sets,0.9244712990936556,0.8818443804034583,0.9026548672566371,347.0
shortest-path,0.9428076256499134,0.9908925318761385,0.9662522202486679,549.0
simulation,0.9548022598870056,0.9825581395348837,0.9684813753581661,172.0
social-networks,1.0,1.0,1.0,30.0
software-engineering,0.96,0.9113924050632911,0.935064935064935,79.0
software-verification,0.9252336448598131,0.9801980198019802,0.9519230769230769,101.0
sorting,0.9181446111869032,1.0,0.957325746799431,673.0
space-analysis,1.0,0.875,0.9333333333333333,40.0
space-complexity,0.8316831683168316,0.9790209790209791,0.8993576017130621,429.0
spanning-trees,0.8048780487804879,1.0,0.8918918918918919,132.0
stacks,0.9859154929577465,0.8860759493670886,0.9333333333333333,79.0
statistics,1.0,0.875,0.9333333333333333,120.0
storage,1.0,0.7272727272727273,0.8421052631578947,44.0
streaming-algorithm,0.96,0.96,0.96,50.0
string-metrics,0.9375,0.967741935483871,0.9523809523809523,62.0
strings,0.8921348314606742,0.9778325123152709,0.9330199764982373,406.0
subsequences,0.7910447761194029,0.954954954954955,0.8653061224489796,111.0
subset-sum,1.0,0.7105263157894737,0.8307692307692308,76.0
substrings,0.9444444444444444,0.9444444444444444,0.9444444444444444,126.0
synchronization,0.9809523809523809,0.9809523809523809,0.9809523809523809,105.0
syntax,0.8421052631578947,0.8421052631578947,0.8421052631578947,38.0
term-rewriting,0.9315068493150684,1.0,0.9645390070921985,68.0
terminology,0.8771266540642723,1.0,0.9345417925478349,928.0
threads,0.9555555555555556,0.9555555555555556,0.9555555555555556,90.0
tiling,1.0,1.0,1.0,44.0
time-complexity,0.9416135881104034,0.9263707571801567,0.9339299815740985,1915.0
topology,1.0,0.8888888888888888,0.9411764705882353,36.0
traveling-salesman,0.84,0.9385474860335196,0.8865435356200527,179.0
trees,0.9409984871406959,0.9658385093167702,0.9532567049808429,644.0
turing-completeness,0.9835164835164835,0.9728260869565217,0.9781420765027322,184.0
turing-machines,0.9767309875141884,0.9609156895589056,0.9687587953841824,1791.0
type-checking,0.8771929824561403,0.970873786407767,0.9216589861751152,103.0
type-inference,1.0,0.963855421686747,0.9815950920245399,83.0
type-theory,0.9624060150375939,1.0,0.9808429118773946,512.0
types-and-programming-languages,0.9180327868852459,1.0,0.9572649572649573,56.0
typing,0.6428571428571429,1.0,0.782608695652174,45.0
uncountability,0.9736842105263158,0.8409090909090909,0.9024390243902439,44.0
undecidability,0.9218045112781955,0.9808,0.9503875968992248,625.0
unification,1.0,0.972972972972973,0.9863013698630136,37.0
variable-binding,0.8,0.7272727272727273,0.7619047619047619,33.0
vc-dimension,0.803921568627451,1.0,0.8913043478260869,41.0
vertex-cover,1.0,1.0,1.0,51.0
virtual-memory,0.9777777777777777,0.9072164948453608,0.9411764705882353,97.0
weighted-graphs,0.9634146341463414,0.8033898305084746,0.8761552680221811,295.0
word-combinatorics,1.0,1.0,1.0,49.0
xor,1.0,0.8285714285714286,0.90625,35.0
micro avg,0.9187175098599935,0.9630583043594544,0.9403655000190422,89736.0
macro avg,0.9303685202521409,0.9263085744328264,0.9234426261342022,89736.0
weighted avg,0.9225248283383166,0.9630583043594544,0.9399978024099178,89736.0
samples avg,0.9179263702192377,0.9461393596986818,0.9254516267077567,89736.0
hamming_loss,0.0009762359881501463,0.0009762359881501463,0.0009762359881501463,34869.0
subset_accuracy,0.8613094725974361,0.8613094725974361,0.8613094725974361,34869.0
ndcg_at_5,0.948563517199545,0.948563517199545,0.948563517199545,34869.0
